StockCode,stock,threshold
23843,10,364478
23166,580,810
84077,51591,4268
22197,22029,12396
85099B,7041,4103
85123A,5583,3979
84879,7796,4348
21212,5330,1536
23084,32255,13532
22492,7915,1627
22616,2376,2719
21977,1722,1369
17003,14607,1322
22178,11079,2349
15036,1228,684
21915,7239,1356
22386,5683,1357
23203,4728,2483
20725,3090,1437
84991,4664,1240
85099F,988,785
22469,4070,1493
84946,3356,2231
22693,3483,891
22086,6775,5453
84755,885,652
47566,1066,838
22961,535,1890
22151,1302,915
22952,11396,2960
21213,4284,549
22629,2898,1258
23199,2488,924
21790,2665,1917
16014,8874,968
84992,1987,1025
23209,1838,1281
71459,1169,688
21731,1841,1745
20724,2784,1358
85099C,3044,1466
20668,5608,4606
23201,3276,1448
22423,722,1090
21080,2372,839
21975,733,633
22969,1162,526
21175,1535,1354
21181,7634,1816
23310,4588,2108
22993,2125,1583
22383,1037,693
23307,3161,1131
22998,5922,1297
23206,1776,858
21931,3112,820
21137,849,2664
22630,2444,849
20727,1274,1189
22659,1030,575
84568,427,1296
84978,742,696
20728,2524,813
23202,1386,1626
21498,2552,1209
22411,1342,1257
20713,1589,810
21232,1689,1653
84212,640,837
84945,1323,1844
22384,982,686
20971,2571,1022
21166,2707,1954
21108,3051,1598
21326,397,1498
21929,927,433
22382,1840,1137
22577,7430,3825
21928,1039,576
79321,4447,2026
23077,1599,1980
22578,5183,4349
22470,2132,1315
22910,2465,3314
22489,1989,1369
21703,2343,767
20719,1640,640
22699,801,642
22610,5247,1256
20726,789,540
22355,2057,683
23344,7918,3151
16045,1903,900
22988,216,1143
21787,1830,2748
22077,2727,731
21497,1524,788
21985,376,458
23232,1641,647
84970S,820,741
22457,612,1425
22558,1364,657
22741,1656,810
82482,1817,606
22385,715,718
23293,2273,1819
84947,814,1342
22189,594,536
20712,1283,476
22960,1287,884
85152,872,1383
22909,2780,1634
22417,1122,591
22326,1718,1027
22865,2010,2156
22560,1029,1819
23230,1743,788
21891,1597,1116
23076,2087,700
84347,6506,2847
22029,598,720
23298,1153,844
21733,1561,1079
23301,1630,2000
23309,2179,1586
22551,1137,876
22467,2826,891
23207,962,710
21914,1432,1663
22666,1136,770
21094,1086,215
22356,2791,798
22554,1621,771
22791,882,1222
23231,1994,591
22951,1331,406
22727,5891,1560
16161P,2123,394
22966,1897,930
21791,753,1073
20972,1229,801
23204,1872,681
21918,1383,362
22720,778,405
21982,1630,376
21499,994,647
22090,293,286
20723,878,464
75049L,633,703
84692,935,536
23200,926,619
20974,2734,29
71477,4464,1440
22740,10,0
23078,1628,909
21086,1490,243
23170,804,253
22662,887,544
21980,1278,273
22595,5215,592
21121,1086,459
22045,2099,844
22328,779,521
15034,1240,206
22065,13997,1610
22697,519,531
20975,1685,932
82583,1176,773
21829,1051,0
21500,615,619
23300,876,1266
82494L,1103,926
22418,1630,601
23208,641,722
20914,998,722
22147,1121,232
22866,1885,1536
22907,1411,341
22379,613,334
22585,2994,741
84378,1366,1486
22867,1818,1541
23171,648,215
23295,1373,858
23308,2468,690
22556,1782,800
82484,186,615
22621,1267,1289
22149,1227,0
22555,759,549
22440,394,314
18007,10,0
23245,685,634
82600,414,1791
21495,2134,816
16156S,616,366
72741,1044,860
21889,1817,1056
84836,1606,451
21231,1149,685
84970L,436,361
21930,908,538
22561,933,814
21210,665,753
23167,575,758
22771,737,276
22726,2610,813
22609,1558,938
40016,10,0
82580,1051,487
22294,436,413
22722,1252,237
21877,365,244
